"Year","Software Version","Patient County","PQI Number","PQI Name","Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
"2023","v2024","Bronx","PQI_01","Diabetes Short-Term Complications","114.88","91.89"
"2023","v2024","Bronx","PQI_03","Diabetes Long-Term Complications","248.10","168.88"
"2023","v2024","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","51.97","42.14"
"2023","v2024","Kings","PQI_01","Diabetes Short-Term Complications","71.08","80.92"
"2023","v2024","Kings","PQI_03","Diabetes Long-Term Complications","121.12","135.41"
"2023","v2024","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","33.34","34.75"
"2023","v2024","New York","PQI_01","Diabetes Short-Term Complications","60.96","65.00"
"2023","v2024","New York","PQI_03","Diabetes Long-Term Complications","128.78","118.45"
"2023","v2024","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","25.33","30.26"
"2023","v2024","Queens","PQI_01","Diabetes Short-Term Complications","54.28","68.01"
"2023","v2024","Queens","PQI_03","Diabetes Long-Term Complications","114.98","131.53"
"2023","v2024","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","33.32","34.04"
"2023","v2024","Richmond","PQI_01","Diabetes Short-Term Complications","59.98","57.74"
"2023","v2024","Richmond","PQI_03","Diabetes Long-Term Complications","165.06","108.87"
"2023","v2024","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","36.40","28.65"
"2022","v2024","Bronx","PQI_01","Diabetes Short-Term Complications","112.80","91.70"
"2022","v2024","Bronx","PQI_03","Diabetes Long-Term Complications","228.05","157.54"
"2022","v2024","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","51.05","38.78"
"2022","v2024","Kings","PQI_01","Diabetes Short-Term Complications","67.16","82.83"
"2022","v2024","Kings","PQI_03","Diabetes Long-Term Complications","118.24","128.31"
"2022","v2024","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","33.14","32.65"
"2022","v2024","New York","PQI_01","Diabetes Short-Term Complications","57.99","65.00"
"2022","v2024","New York","PQI_03","Diabetes Long-Term Complications","122.45","111.36"
"2022","v2024","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","27.71","28.23"
"2022","v2024","Queens","PQI_01","Diabetes Short-Term Complications","58.50","72.60"
