Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,Illinois,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19+,Total,Direct Cost,Direct Cost (Dollars in Millions),Direct Cost ($ in Millions),"6,712.50",17,POINT (-88.99771 40.48501),Midwest,IL,East North Central,Yes,High,2020-2024
2021,Nebraska,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,65+,Direct Cost,Direct Cost (Dollars in Millions),Direct Cost ($ in Millions),868.7,31,POINT (-99.365721 41.641041),Midwest,NE,West North Central,Yes,Medium,2020-2024
2021,Ohio,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19+,Total,Direct Cost,Direct Cost (Dollars in Millions),Direct Cost ($ in Millions),"13,848.70",39,POINT (-82.40426 40.06021),Midwest,OH,East North Central,Yes,High,2020-2024
2021,Rhode Island,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),958,44,POINT (-71.52247 41.70828),Northeast,RI,New England,Yes,Medium,2020-2024
2021,South Dakota,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,19-64,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),689,46,POINT (-100.373531 44.35313),Midwest,SD,West North Central,Yes,Medium,2020-2024
2021,Alaska,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),23.2,2,POINT (-147.722059 64.84508),West,AK,Pacific,Yes,Low,2020-2024
2021,Arkansas,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,75+,75+,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,269,5,POINT (-92.274491 34.74865),South,AR,West South Central,Yes,Medium,2020-2024
2021,Connecticut,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),69.9,9,POINT (-72.649841 41.562661),Northeast,CT,New England,Yes,Low,2020-2024
2021,Delaware,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,75+,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,387,10,POINT (-75.577741 39.008831),South,DE,South Atlantic,Yes,Medium,2020-2024
2021,Georgia,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Cost Per Person with Diabetes,Cost Per PWD,"2,577",13,POINT (-83.62758 32.839681),South,GA,South Atlantic,Yes,High,2020-2024
2021,Georgia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,Total,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"2,630",13,POINT (-83.62758 32.839681),South,GA,South Atlantic,Yes,High,2020-2024
2021,Georgia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),544.4,13,POINT (-83.62758 32.839681),South,GA,South Atlantic,Yes,Medium,2020-2024
2021,Idaho,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Cost Per Person with Diabetes,Cost Per PWD,306,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,Medium,2020-2024
2021,Indiana,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18+,Total,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,281,18,POINT (-86.14996 39.76691),Midwest,IN,East North Central,Yes,Medium,2020-2024
2021,Kentucky,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"3,180",21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,45-64,45-64,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"3,334",21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Louisiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),72,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,Low,2020-2024
2021,Louisiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,Total,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),377,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,Medium,2020-2024
2021,Louisiana,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,75+,75+,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,276,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,Medium,2020-2024
2021,Maryland,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,18+,Total,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,482,24,POINT (-76.60926 39.290581),South,MD,South Atlantic,Yes,Medium,2020-2024
2021,Massachusetts,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"3,348.60",25,POINT (-72.082691 42.27687),Northeast,MA,New England,Yes,High,2020-2024
2021,Michigan,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"4,308.40",26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,High,2020-2024
2021,Michigan,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,75+,75+,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,7.1,26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,Low,2020-2024
2021,New Jersey,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Total (Morbidity + Mortality),Total Cost (Dollars in Millions),Total Cost ($ in Millions),"7,713.90",34,POINT (-74.273691 40.13057),Northeast,NJ,Middle Atlantic,Yes,High,2020-2024
2021,New Jersey,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,18-44,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"3,836",34,POINT (-74.273691 40.13057),Northeast,NJ,Middle Atlantic,Yes,High,2020-2024
2021,New Mexico,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,65-74,65-74,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),3.9,35,POINT (-106.240581 34.520881),West,NM,Mountain,Yes,Low,2020-2024
2021,New York,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,75+,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,365,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
