Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases (in thousands),Cases (in thousands),21.6,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,18-44,18-44,Rate (per 100),Rate (per 100),5.2,3.0-7.4,3,7.4,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"26,100",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),137.9,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Education,Less than high school,Age,18+,Total,Rate (per 100),Rate (per 100),23.5,18.1-28.8,18.1,28.8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"27,254",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Rural and Urban Areas,Urban,Age,18+,Total,Rate (per 100),Rate (per 100),14.9,13.5-16.3,13.5,16.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),150.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Total Cases,Total Cases,"102,125",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),11.2,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
