Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,Alaska,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,18-44,18-44,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,10.5,02,POINT (-147.722059 64.84508),West,AK,Pacific,Yes,Low,2020-2024,State
2021,Arizona,Diabetes Cause of Death,"Deaths with Diabetes as Underlying Cause of Death (UCOD) per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,75+,75+,"Deaths per 100,000","Deaths per 100,000",241,04,POINT (-111.763811 34.86597),West,AZ,Mountain,Yes,High,2020-2024,State
2021,District of Columbia,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,75+,75+,All Causes of Death (Estimated),All Causes of Death,170,11,POINT (-77.031961 38.890371),South,DC,South Atlantic,Yes,High,2020-2024,District
2021,Georgia,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,65-74,65-74,All Causes of Death (Estimated),All Causes of Death,"3,870",13,POINT (-83.62758 32.839681),South,GA,South Atlantic,Yes,High,2020-2024,State
2021,Hawaii,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Overall,Age,75+,75+,Average YPLLs due to Diabetes,Average YPLLs ATD,1.4,15,POINT (-157.857749 21.30485),West,HI,Pacific,Yes,Low,2020-2024,State
2021,Idaho,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,15+,Total,All Causes of Death (Estimated),All Causes of Death,720,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,High,2020-2024,State
2021,Idaho,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Males,Age,18-44,18-44,Number of Persons with Diabetes (in thousands),PWD (in thousands),11,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,Low,2020-2024,State
2021,Kansas,Diabetes Cause of Death,"Deaths with Diabetes as Underlying Cause of Death (UCOD) per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,75+,75+,"Deaths per 100,000","Deaths per 100,000",271,20,POINT (-98.200781 38.34774),Midwest,KS,West North Central,Yes,High,2020-2024,State
2021,Kansas,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Males,Age,18-44,18-44,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,10.5,20,POINT (-98.200781 38.34774),Midwest,KS,West North Central,Yes,Low,2020-2024,State
2021,Maine,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,65-74,65-74,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,3,23,POINT (-68.985031 45.254229),Northeast,ME,New England,Yes,Low,2020-2024,State
2021,Maryland,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,45-64,45-64,All Causes of Death (Estimated),All Causes of Death,710,24,POINT (-76.60926 39.290581),South,MD,South Atlantic,Yes,High,2020-2024,State
2021,Missouri,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Overall,Age,75+,75+,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,1.5,29,POINT (-92.5663 38.635791),Midwest,MO,West North Central,Yes,Low,2020-2024,State
2021,Nevada,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Overall,Age,65-74,65-74,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,2.7,32,POINT (-117.071841 39.49324),West,NV,Mountain,Yes,Low,2020-2024,State
2021,South Carolina,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,15+,Total,All Causes of Death (Estimated),All Causes of Death,180,45,POINT (-81.045371 33.998821),South,SC,South Atlantic,Yes,High,2020-2024,State
2021,Tennessee,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,15-44,15-44,All Causes of Death (Estimated),All Causes of Death,130,47,POINT (-85.774491 35.680941),South,TN,East South Central,Yes,Medium,2020-2024,State
